"name","median_t","t_quant_2.5","t_quant_97.5","median_wide","wide_quant_2.5","wide_quant_97.5","gender","num_matches"
"A.BEDENE",2.05494860741795,1.47417673581121,2.61600631504964,1.76480013665236,1.20868869909842,2.33009215451002,"Men",1
"A.BUBLIK",1.76205821888997,1.40063403074671,2.13916566742063,1.40745945423662,1.0530242095256,1.78344086716428,"Men",2
"A.HOANG",2.00060928775186,1.48642988090578,2.54157148850246,1.07676441448289,0.533355897839102,1.6134800125114,"Men",1
"A.MANNARINO",2.45275422628907,1.82645301431283,3.10391578754199,1.53978483901201,0.91127120338357,2.19479509082465,"Men",1
"A.MURRAY",2.55684090648557,2.03819478377066,3.1167558044819,1.74092868645716,1.21489408544421,2.30091570001065,"Men",1
"A.RUBLEV",2.92800073020473,2.48445908080709,3.39447741718166,2.06997444525755,1.63687317677719,2.52263061815336,"Men",2
"A.ZVEREV",2.2006880477846,1.91353013101956,2.51521023430655,1.65801901495735,1.36562509904295,1.96829222389656,"Men",7
"B.PAIRE",2.19230023203144,1.84059881711252,2.56465419794806,1.61387157313486,1.26984110370696,1.98188309104035,"Men",2
"C.RUUD",2.5308914961399,2.09665953226903,3.00316751013918,1.77900458366459,1.35060954252702,2.22786826290389,"Men",2
"D.ALTMAIER",2.00377757698499,1.59018865873504,2.41481767196972,1.75849937048448,1.35410859929602,2.16237809975156,"Men",2
"D.GOFFIN",2.49566285391599,2.03498262404127,2.96192839230763,1.95922057502392,1.50554458132755,2.43655500387439,"Men",2
"D.KOEPFER",1.12774325597124,0.575232522186522,1.67300903896726,0.433502466813461,-0.151396303232178,0.996478762531063,"Men",1
"D.MEDVEDEV",2.06569396058188,1.56416928587144,2.59350479504776,1.42708999150724,0.910065732103966,1.95353807923365,"Men",1
"D.NOVAK",1.89127284896274,1.3796228255779,2.40242252603655,1.43129566148531,0.941555276340376,1.94812551921051,"Men",1
"D.SCHWARTZMAN",2.37435229311776,2.00157454946858,2.7531914086355,1.79079380776945,1.44751490420784,2.16722849133903,"Men",3
"D.SHAPOVALOV",2.33237143847224,1.80209041656614,2.85884557504963,1.97190395183489,1.44789088904975,2.51610929813098,"Men",2
"D.THIEM",2.29671595586866,2.01717194501821,2.57853765834639,1.95160268135195,1.68449888786246,2.22582010418748,"Men",12
"DE.GALAN",2.80296299193333,2.16683407243677,3.51247415436828,2.3732941987292,1.71917487041868,3.04447882664911,"Men",1
"E.GERASIMOV",2.68226965770937,2.08068505171633,3.32571008575295,2.16448345052826,1.5788126831028,2.79819633374355,"Men",1
"F.FOGNINI",1.99356764245029,1.5566735275992,2.4600776335711,1.36315509211966,0.919845443402695,1.81518330799501,"Men",2
"F.KRAJINOVIC",2.07181492314054,1.58675886512673,2.57160951767145,1.45508210112151,0.95553482508322,1.96547464783934,"Men",1
"G.DIMITROV",2.14656081228015,1.64707201834657,2.69433899823141,1.74520966129958,1.23658179899024,2.25860579835703,"Men",1
"G.MONFILS",2.02605581267093,1.70076750591028,2.3525487853261,1.57376669896329,1.25408691627577,1.9023493227871,"Men",5
"G.SIMON",2.42003575946378,1.9442566252201,2.91897169396821,2.06412353139114,1.61313355513557,2.57634599178832,"Men",1
"H.GASTON",2.34726380170024,1.84366117454392,2.85589639249451,1.59479174177948,1.06460643679798,2.11240869820046,"Men",2
"H.LAAKSONEN",2.30199483797081,1.76726792214976,2.87266001214986,1.49276899296791,0.957645265983977,2.06038464372044,"Men",1
"J.CHARDY",1.43373288466529,1.02462883105935,1.83856345651996,1.00961211169879,0.613799770194523,1.41498310001362,"Men",1
"J.DELPOTRO",2.05466931462845,1.65065055859197,2.46711279899873,1.25317407257168,0.826942579669731,1.67301516294182,"Men",2
"J.LONDERO",2.47717659341542,1.89886112431746,3.09002669822254,1.64924727797221,1.07801466356801,2.27192538141337,"Men",1
"J.MILLMAN",1.38645287773773,1.00228787766474,1.78368620572378,0.888125710553161,0.518970753757593,1.2719058861216,"Men",1
"J.MUNAR",1.901777525377,1.44327039426327,2.37783369187724,1.49206492752782,1.03018402543209,1.95244763932588,"Men",1
"J.RODIONOV",1.91138191301469,1.38178794105489,2.4455530841872,1.4808313445535,0.938255785808244,2.05553774929618,"Men",1
"J.SINNER",1.61104160605829,1.2736604952342,1.95529022884905,0.916834601180873,0.577600636061837,1.2626516289491,"Men",3
"J.SOCK",2.17603964087084,1.6426371685802,2.71458215650285,1.91900410747344,1.41331609319725,2.47538736376499,"Men",1
"J.STRUFF",1.79744079474082,1.25695846465842,2.35482041304413,1.19165950413721,0.631968492880598,1.73188569472376,"Men",1
"J.TSONGA",1.9350355164551,1.54091254751529,2.33295157268632,1.50314152740967,1.11934690539943,1.89403166275816,"Men",2
"K.KHACHANOV",2.09397117936248,1.72981937105,2.45899700111091,1.25455384058219,0.885273716589415,1.62343291899818,"Men",3
"K.NISHIKORI",1.67653732512428,1.35754443832951,1.97582175476377,1.14147197488399,0.840934154579563,1.44695641380036,"Men",4
"L.HARRIS",1.6414251283661,1.17372617083438,2.1151750574109,1.40472192556308,0.948084397865334,1.88038854654432,"Men",1
"L.MAYER",1.15146907900301,0.653649476339915,1.64583434674316,0.225691399982407,-0.300116420992813,0.723575068547412,"Men",1
"L.POUILLE",2.38813706357186,1.98758544194234,2.79358970843267,2.05036672881262,1.64602339675252,2.46699608170571,"Men",2
"L.SONEGO",1.48610696937205,1.11609090125225,1.89619047621817,1.12296742895854,0.757882851755053,1.50801458283013,"Men",2
